,employer,title,salary,submitDate,startDate,caseStatus,city,state
66,GAMELOFT INC,DATA SCIENTIST,70000,2015-02-13,2015-08-12,CERTIFIED,NEW YORK,NY
67,PIXALATE INC,DATA SCIENTIST,70000,2015-03-26,2015-09-24,CERTIFIED,SANTA MONICA,CA
68,INTUIT INC,DATA SCIENTIST,70033,2015-03-05,2015-07-30,CERTIFIED,MOUNTAIN VIEW,CA
69,INTUIT INC,DATA SCIENTIST,70033,2015-03-10,2015-09-06,CERTIFIED,MOUNTAIN VIEW,CA
70,AOL INC,DATA SCIENTIST,70096,2015-02-12,2015-08-09,CERTIFIED,DULLES,VA
71,MERCK SHARP & DOHME CORP,DATA SCIENTIST,70637,2015-05-04,2015-05-15,CERTIFIED,NORTH WALES,PA
72,IBM CORPORATION,DATA SCIENTIST,71032,2015-10-30,2015-11-06,WITHDRAWN,CLEVELAND,OH
73,IBM CORPORATION,DATA SCIENTIST,71032,2015-10-30,2015-11-06,CERTIFIED,CLEVELAND,OH
74,HUMANA INSURANCE COMPANY,DATA SCIENTIST,71822,2015-12-02,2015-12-09,CERTIFIED,FREMONT,CA
75,TIVO INC,DATA SCIENTIST,72000,2015-02-11,2015-02-18,CERTIFIED,SAN JOSE,CA
76,CREDIT KARMA INC,DATA SCIENTIST,72000,2015-02-10,2015-08-10,CERTIFIED,SAN FRANCISCO,CA
77,CREDIT KARMA INC,DATA SCIENTIST,72000,2015-02-10,2015-08-10,CERTIFIED,SAN FRANCISCO,CA
78,KIRANAM TECHNOLOGIES INC,DATA SCIENTIST,72530,2015-03-05,2015-09-03,CERTIFIED,IRVING,TX
79,COMPUBAHN INC,DATA SCIENTIST,73550,2015-03-26,2015-09-24,CERTIFIED,BETHESDA,MD
80,ORACLE AMERICA INC,DATA SCIENTIST,73736,2015-06-16,2015-06-22,CERTIFIED,WESTMINSTER,CO
81,EARTH NETWORKS INC,DATA SCIENTIST,74290,2015-01-14,2015-07-15,CERTIFIED,GERMANTOWN,MD
82,EARTH NETWORKS INC,DATA SCIENTIST,74290,2015-02-06,2015-07-15,CERTIFIED,GERMANTOWN,MD
83,MOTOROLA SOLUTIONS INC,DATA SCIENTIST,74610,2015-11-11,2015-12-14,CERTIFIED,SCHAUMBURG,IL
84,GENERAL MOTORS COMPANY,DATA SCIENTIST,75000,2015-12-15,2016-01-04,CERTIFIED,DETROIT,MI
85,RETAIL EQUATION INC,DATA SCIENTIST,75000,2015-02-13,2015-08-12,CERTIFIED,IRVINE,CA
86,AMERICAN SAVINGS BANK FSB,DATA SCIENTIST,75000,2015-02-04,2015-08-04,CERTIFIED,HONOLULU,HI
87,NEXMO INC,DATA SCIENTIST,75000,2015-03-10,2015-09-05,CERTIFIED,SAN FRANCISCO,CA
88,SIMULMEDIA INC,DATA SCIENTIST,75000,2015-03-06,2015-09-03,CERTIFIED,NEW YORK,NY
89,MONEYLION INC,DATA SCIENTIST,75000,2015-03-12,2015-09-09,CERTIFIED,NEW YORK,NY
90,ON DECK CAPITAL INC,DATA SCIENTIST,75000,2015-03-17,2015-09-01,CERTIFIED,NEW YORK,NY
91,MASHWORK INC,DATA SCIENTIST,75000,2015-03-18,2015-09-17,CERTIFIED,NEW YORK,NY
92,REPUBLICAN NATIONAL COMMITTEE,DATA SCIENTIST,75000,2015-03-24,2015-06-01,CERTIFIED,WASHINGTON,DC
93,LIFTPOINT CONSULTING INC,DATA SCIENTIST,75000,2015-07-28,2015-08-10,CERTIFIED,EDEN PRAIRIE,MN
94,THOUGHTWORKS INC,DATA SCIENTIST,76606,2015-01-22,2015-01-22,CERTIFIED,CHICAGO,IL
95,DIGITAL REASONING SYSTEMS INC,DATA SCIENTIST,76718,2015-08-25,2015-09-15,CERTIFIED,FRANKLIN,TN
96,ADP LLC,DATA SCIENTIST,77022,2015-03-02,2015-08-18,CERTIFIED,ROSELAND,NJ
97,CIRCLEUP NETWORK INC,DATA SCIENTIST,77064,2015-09-23,2015-10-16,CERTIFIED,SAN FRANCISCO,CA
98,NORDSTROM INC,DATA SCIENTIST,78000,2015-03-10,2015-09-08,CERTIFIED,SEATTLE,WA
99,EMC CORPORATION,DATA SCIENTIST,78480,2015-06-25,2015-08-17,CERTIFIED,SANTA MONICA,CA
100,SCHLUMBERGER TECHNOLOGY CORPORATION,DATA SCIENTIST,79186,2015-03-25,2015-09-20,CERTIFIED,HOUSTON,TX
101,FEEDZAI INC,DATA SCIENTIST,80000,2015-10-08,2015-10-19,CERTIFIED,SAN MATEO,CA
102,OPEX ANALYTICS LLC,DATA SCIENTIST,80000,2015-01-19,2015-01-20,CERTIFIED,EVANSTOWN,IL
