,employer,title,salary,submitDate,startDate,caseStatus,city,state
6218,caterpillar inc,Senior Data Scientist,88000,2018-07-10,2018-07-23,CERTIFIED,CHAMPAIGN,IL
6219,facebook inc,Data Scientist,125000,2018-07-10,2018-07-23,CERTIFIED,MENLO PARK,CA
6220,cortex management llc,Senior Data Scientist,80000,2018-07-10,2018-08-26,CERTIFIED,ADDISON,TX
6221,cortex management llc,Senior Data Scientist,80000,2018-07-10,2018-08-26,CERTIFIED,ADDISON,TX
6222,quartet health inc,Senior Data Scientist,175000,2018-07-10,2018-07-17,CERTIFIED,NEW YORK,NY
6223,info services llc,Data Scientist,110000,2018-07-11,2018-07-18,CERTIFIED,BRISTOL,CT
6224,fractal analytics inc,Lead Data Scientist,87464,2018-07-11,2018-07-17,CERTIFIED,NORTHBROOK,IL
6225,techsource inc,Data Scientist,102107,2018-07-12,2018-09-08,CERTIFIED,EL SEGUNDO,CA
6226,fabfitfun inc,Senior Data Scientist,145000,2018-07-12,2018-08-06,CERTIFIED,LOS ANGELES,CA
6227,upgrade inc,Data Scientist,96075,2018-07-13,2018-07-17,CERTIFIED,SAN FRANCISCO,CA
6228,piper companies llc,Data Scientist,117000,2018-07-13,2018-07-20,CERTIFIED,MCLEAN,VA
6229,facebook inc,Data Scientist,180000,2018-07-13,2018-07-23,CERTIFIED,MENLO PARK,CA
6230,halos insurance inc,Data Scientist,182700,2018-07-13,2018-07-23,CERTIFIED,WASHINGTON DC,DC
6231,jetcom inc,Principal Data Scientist,204600,2018-07-13,2018-07-23,CERTIFIED,HOBOKEN,NJ
6232,apolloversity incorporated,Data Scientist,75000,2018-07-14,2018-08-06,DENIED,OAKLAND,CA
6233,hypertrack inc,Lead Data Scientist,170000,2018-07-16,2018-07-23,CERTIFIED,MENLO PARK,CA
6234,hypertrack inc,Lead Data Scientist,170000,2018-07-16,2018-07-23,CERTIFIED,MENLO PARK,CA
6235,microsoft corporation,Senior Data Scientist,170216,2018-07-16,2019-01-12,CERTIFIED,REDMOND,WA
6236,microsoft corporation,Senior Data Scientist,186000,2018-07-16,2018-07-23,CERTIFIED,REDMOND,WA
6237,microsoft corporation,Senior Data Scientist,149724,2018-07-16,2019-01-12,CERTIFIED,BELLEVUE,WA
6238,wal-mart associates inc,Principal Data Scientist,125000,2018-07-16,2018-07-30,CERTIFIED,BENTONVILLE,AR
6239,micron technology inc,Senior Data Scientist,133913,2018-07-16,2018-11-14,CERTIFIED,BOISE,ID
6240,oracle america inc,Data Scientist,116720,2018-07-17,2018-07-26,CERTIFIED,SANTA CLARA,CA
6241,massachusetts mutual life insurance company,Lead Data Scientist,153000,2018-07-17,2018-07-30,CERTIFIED,BOSTON,MA
6242,facebook inc,Data Scientist,140000,2018-07-17,2018-07-30,CERTIFIED,MENLO PARK,CA
6243,microsoft corporation,Senior Data Scientist,170100,2018-07-17,2019-01-15,CERTIFIED,REDMOND,WA
6244,national union fire insurance company of pittsburgh pa,Senior Data Scientist,143000,2018-07-18,2018-07-30,CERTIFIED,NEW YORK,NY
6245,massachusetts mutual life insurance company,Lead Data Scientist,158500,2018-07-18,2018-07-30,CERTIFIED,BOSTON,MA
6246,hotwire inc,Data Scientist,81266,2018-07-18,2018-07-30,CERTIFIED - WITHDRAWN,SEATTLE,WA
6247,zestfinance inc,Senior Data Scientist,145000,2018-07-18,2018-07-26,CERTIFIED,LOS ANGELES,CA
6248,grubhub holdings inc,Data Scientist,130000,2018-07-18,2018-08-13,CERTIFIED,NEW YORK,NY
6249,coursera inc,Staff Data Scientist,129210,2018-07-18,2018-07-30,CERTIFIED,MOUNTAIN VIEW,CA
6250,coursera inc,Staff Data Scientist,129210,2018-07-18,2018-07-30,CERTIFIED,MOUNTAIN VIEW,CA
6251,zestfinance inc,Senior Data Scientist,145000,2018-07-18,2018-07-26,CERTIFIED,LOS ANGELES,CA
6252,stubhub inc,Data Scientist,142830,2018-07-18,2018-10-01,CERTIFIED,SAN FRANCISCO,CA
6253,hotwire inc,Data Scientist,81266,2018-07-18,2018-07-30,CERTIFIED,SEATTLE,WA
