,employer,title,salary,submitDate,startDate,caseStatus,city,state
1074,capital one services llc,Principal Data Analyst,65000,2015-12-15,2016-04-30,CERTIFIED,RICHMOND,VA
1075,tekorg inc,Data Analyst,85500,2015-12-15,2015-12-15,CERTIFIED,RALEIGH,NC
1076,autotradercom inc,Senior Data Analyst,100422,2015-12-16,2016-03-15,CERTIFIED,ATLANTA,GA
1077,hanusoft inc,Data Analyst,90000,2015-12-16,2016-04-30,CERTIFIED,RICHMOND,VA
1078,cb&i environmental & infrastructure inc,Data Analyst,55973,2015-12-18,2015-12-28,CERTIFIED,NEW YORK,NY
1079,ads alliance data systems inc,Senior Data Analyst,74000,2015-12-18,2016-05-10,CERTIFIED,ATLANTA,GA
1080,logicatechinc,Data Analyst,70000,2015-12-20,2016-01-04,CERTIFIED,WASHINGTON,DC
1081,wunderman worldwide llc,Senior Data Analyst,65000,2015-12-21,2016-01-01,CERTIFIED,NEW YORK,NY
1082,wunderman worldwide llc,Senior Data Analyst,65000,2015-12-21,2016-01-01,WITHDRAWN,NEW YORK,NY
1083,softsol resources inc,Data Analyst,90000,2015-12-22,2016-01-04,CERTIFIED,SUNNYVALE,CA
1084,beacon health options inc,Data Analyst,62000,2015-12-22,2015-12-28,CERTIFIED,ROCKY HILL,CT
1085,ads alliance data systems inc,Data Analyst,65000,2015-12-23,2015-12-23,CERTIFIED,ATLANTA,GA
1086,international technologies pro llc,Data Analyst,63000,2015-12-23,2015-12-23,CERTIFIED,HOUSTON,TX
1087,exzac inc,Data Analyst,110000,2015-12-23,2016-01-04,CERTIFIED,JERSEY CITY,NJ
1088,h lee moffitt cancer center & research institute,Data Analyst,48194,2015-12-23,2016-01-30,DENIED,TAMPA,FL
1089,international technologies pro llc,Data Analyst,60000,2015-12-23,2016-01-11,CERTIFIED,PITTSBURGH,PA
1090,the university of texas md anderson cancer center,Data Analyst,57450,2015-12-23,2016-02-16,CERTIFIED,HOUSTON,TX
1091,origami logic inc,Data Analyst,105789,2015-12-23,2016-01-04,CERTIFIED,MENLO PARK,CA
1092,ngusoft inc,Data Analyst,63835,2015-12-23,2015-12-24,CERTIFIED,PALO ALTO,CA
1093,inovalon inc,Data Analyst,80000,2015-12-23,2016-01-25,CERTIFIED,BOWIE,MD
1094,microsoft corporation,Senior Data Analyst,144000,2015-12-28,2016-01-04,CERTIFIED,REDMOND,WA
1095,microinfo inc,Data Analyst,68000,2015-12-28,2015-12-28,CERTIFIED,BOSTON,MA
1096,vennsys llc,Senior Data Analyst,81266,2015-12-29,2016-01-11,CERTIFIED,NEW YORK,NY
1097,capital one national association,Senior Data Analyst,69500,2015-12-29,2016-01-11,CERTIFIED,MCLEAN,VA
1098,microsoft corporation,Data Analyst,122190,2015-12-29,2016-06-13,CERTIFIED,BELLEVUE,WA
1099,university of massachusetts medical school,Data Analyst,68000,2015-12-29,2016-01-11,CERTIFIED,NORTH QUINCY,MA
1100,the fidelis group,Data Analyst,57000,2015-12-29,2016-01-06,CERTIFIED,LITTLE FERRY,NJ
